"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"45","Edward Pasquale","T.B","3","11.166666666667","9","9","0","1.000","0.00","1.19","0.74","1","1","0","1.000","0.00","0.21","2","2","0","1.000","0.00","0.29","6","6","0","1.000","0.00","0.44","0","0","31.22","-"
"63","Christopher Gibson","NYI","2","2","2","2","0","1.000","0.00","0.27","0.11","0","0","0","-","0.00","0.00","1","1","0","1.000","0.00","0.15","1","1","0","1.000","0.00","0.07","0","0","35.00","-"
"64","Maxime Lagace","VGK","1","6","5","5","0","1.000","0.00","0.66","0.41","0","0","0","-","0.00","0.00","1","1","0","1.000","0.00","0.15","4","4","0","1.000","0.00","0.29","0","0","42.00","-"
"83","Alex Nedeljkovic","CAR","1","4","3","3","0","1.000","0.00","0.40","0.6","1","1","0","1.000","0.00","0.21","2","2","0","1.000","0.00","0.29","0","0","0","-","0.00","0.00","0","1","26.67","-"
"88","Landon Bow","DAL","2","3.1","1","1","0","1.000","0.00","0.13","0.1","0","0","0","-","0.00","0.00","1","1","0","1.000","0.00","0.15","0","0","0","-","0.00","0.00","0","0","24.00","-"
"90","Charlie Lindgren","MTL","1","2","4","4","0","1.000","0.00","0.53","0.8","2","2","0","1.000","0.00","0.41","1","1","0","1.000","0.00","0.15","1","1","0","1.000","0.00","0.07","0","3","23.75","-"
"95","Michael Dipietro","VAN","1","4.95","3","3","0","1.000","0.00","0.40","0.23","0","0","0","-","0.00","0.00","1","1","0","1.000","0.00","0.15","2","2","0","1.000","0.00","0.15","0","0","49.00","-"
"99","Pavel Francouz","COL","2","4.7833333333333","4","4","0","1.000","0.00","0.53","0.24","0","0","0","-","0.00","0.00","1","1","0","1.000","0.00","0.15","3","3","0","1.000","0.00","0.22","0","0","40.50","-"
"38","Michael Hutchinson","TOR","5","19.566666666667","18","17","1","0.944","3.07","1.39","2.38","3","3","0","1.000","0.00","0.62","6","6","0","1.000","0.00","0.87","9","8","1","0.889","3.07","-0.34","0","3","42.50","58.00"
"7","Mike McKenna","OTT","10","30.183333333333","43","40","3","0.930","5.96","2.70","3.92","7","6","1","0.857","1.99","0.44","7","7","0","1.000","0.00","1.02","29","27","2","0.931","3.98","0.13","0","3","37.14","26.00"
"26","Chad Johnson","ANA","9","27.516666666667","26","24","2","0.923","4.36","1.45","2.06","5","5","0","1.000","0.00","1.03","7","5","2","0.714","4.36","-0.98","14","14","0","1.000","0.00","1.03","0","2","37.46","31.00"
"70","Anthony Stolarz","PHI","12","53.366666666667","37","34","3","0.919","3.37","1.91","4.47","11","10","1","0.909","1.12","1.26","12","11","1","0.917","1.12","0.74","14","13","1","0.929","1.12","0.03","0","7","29.86","31.67"
"46","Darcy Kuemper","ARI","55","235.48333333333","185","169","16","0.914","4.08","8.54","21.21","38","35","3","0.921","0.76","4.82","61","56","5","0.918","1.27","3.85","86","78","8","0.907","2.04","-1.68","2","17","33.04","35.31"
"66","Andrei Vasilevskiy","T.B","53","299.93333333333","259","236","23","0.911","4.60","11.35","27.41","61","50","11","0.820","2.20","1.55","92","85","7","0.924","1.40","6.35","103","99","4","0.961","0.80","3.57","5","24","34.58","28.26"
"42","Anders Nilsson","OTT","24","80.15","67","61","6","0.910","4.49","2.89","8.14","18","16","2","0.889","1.50","1.70","20","17","3","0.850","2.25","-0.10","28","27","1","0.964","0.75","1.06","1","7","31.73","30.00"
"97","Alexandar Georgiev","NYR","33","170.68333333333","154","140","14","0.909","4.92","6.43","20.98","61","54","7","0.885","2.46","5.55","32","27","5","0.844","1.76","-0.36","61","59","2","0.967","0.70","2.48","0","29","29.34","23.21"
"24","Ben Bishop","DAL","46","203.11666666667","151","137","14","0.907","4.14","6.03","19.25","37","33","4","0.892","1.18","3.61","52","46","6","0.885","1.77","1.55","60","56","4","0.933","1.18","0.41","1","14","31.46","23.43"
