"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"46","Jeff Frazee","N.J","1","18.6","3","3","0","1.000","0.00","0.24","0.3","1","1","0","1.000","0.00","0.17","1","1","0","1.000","0.00","0.08","1","1","0","1.000","0.00","0.03","0","0","30.00","-"
"76","Jussi Rynnas","TOR","1","6.3333333333333","2","2","0","1.000","0.00","0.16","0.31","1","1","0","1.000","0.00","0.17","1","1","0","1.000","0.00","0.08","0","0","0","-","0.00","0.00","1","0","23.50","-"
"54","Chad Johnson","PHX","4","186.18333333333","86","84","2","0.977","0.64","4.81","6.01","18","16","2","0.889","0.64","1.11","19","19","0","1.000","0.00","1.49","49","49","0","1.000","0.00","1.38","1","7","34.12","15.00"
"80","Philipp Grubauer","WSH","2","68.633333333333","38","36","2","0.947","1.75","1.01","3.4","16","14","2","0.875","1.75","0.76","12","12","0","1.000","0.00","0.94","8","8","0","1.000","0.00","0.23","3","2","32.61","11.50"
"79","Sami Aittokallio","COL","1","41.866666666667","18","17","1","0.944","1.43","0.43","1.45","5","5","0","1.000","0.00","0.86","3","2","1","0.667","1.43","-0.77","10","10","0","1.000","0.00","0.28","2","1","37.28","29.00"
"16","Craig Anderson","OTT","24","1086.6","496","467","29","0.942","1.60","10.30","34.06","130","110","20","0.846","1.10","2.46","102","95","7","0.931","0.39","0.97","254","252","2","0.992","0.11","5.18","23","38","36.31","16.90"
"78","Sergei Bobrovsky","CBJ","38","1743.4833333333","860","809","51","0.941","1.76","17.15","60.96","222","191","31","0.860","1.07","7.35","203","195","8","0.961","0.28","7.87","411","399","12","0.971","0.41","-0.39","30","75","34.97","23.45"
"32","Jimmy Howard","DET","42","1870.05","865","813","52","0.940","1.67","16.54","61.69","244","205","39","0.840","1.25","3.15","205","198","7","0.966","0.22","9.02","386","380","6","0.984","0.19","4.91","36","70","35.02","18.15"
"6","Tomas Vokoun","PIT","20","801.16666666667","411","386","25","0.939","1.87","7.57","28.72","103","88","15","0.854","1.12","2.79","111","106","5","0.955","0.37","3.68","180","176","4","0.978","0.30","1.09","16","36","36.50","23.88"
"59","Jonathan Bernier","L.A","14","629.88333333333","240","225","15","0.938","1.43","4.02","18.94","63","52","11","0.825","1.05","-0.12","57","56","1","0.982","0.10","3.46","110","107","3","0.973","0.29","0.11","13","26","35.09","19.07"
"64","Jonas Hiller","ANA","26","1186.7333333333","498","467","31","0.938","1.57","8.46","40","139","121","18","0.871","0.91","6.01","117","109","8","0.932","0.40","1.15","223","218","5","0.978","0.25","1.30","35","46","34.07","25.71"
"45","Tuukka Rask","BOS","36","1694.2666666667","791","741","50","0.937","1.77","12.68","60.4","214","187","27","0.874","0.96","9.97","209","191","18","0.914","0.64","-1.66","343","338","5","0.985","0.18","4.69","51","76","36.24","20.84"
"22","Henrik Lundqvist","NYR","43","2046.6","909","851","58","0.936","1.70","14.03","73.76","238","209","29","0.878","0.85","12.11","246","228","18","0.927","0.53","1.23","391","381","10","0.974","0.29","1.05","41","77","34.60","22.71"
"81","Petr Mrazek","DET","2","99.433333333333","46","43","3","0.935","1.81","0.65","2.28","5","4","1","0.800","0.60","-0.14","12","10","2","0.833","1.21","-1.06","24","24","0","1.000","0.00","0.68","2","3","43.87","28.67"
"2","Nikolai Khabibulin","EDM","12","534.05","302","282","20","0.934","2.25","3.93","23.84","78","71","7","0.910","0.79","6.47","107","96","11","0.897","1.24","-2.64","112","110","2","0.982","0.22","1.16","14","27","32.70","25.30"
"58","Jhonas Enroth","BUF","12","492.96666666667","259","242","17","0.934","2.07","3.52","17.31","63","53","10","0.841","1.22","0.88","62","59","3","0.952","0.37","1.85","127","123","4","0.969","0.49","-0.41","22","14","37.57","25.00"
"56","Steve Mason","PHI","7","304.35","180","168","12","0.933","2.37","2.26","14.3","50","44","6","0.880","1.18","2.64","45","41","4","0.911","0.79","-0.48","81","79","2","0.975","0.39","0.29","3","18","35.32","25.92"
"71","Robin Lehner","OTT","12","578.61666666667","329","307","22","0.933","2.28","4.07","22.94","85","76","9","0.894","0.93","5.68","86","78","8","0.907","0.83","-1.28","150","146","4","0.973","0.41","0.24","13","31","35.17","29.73"
"31","Corey Crawford","CHI","30","1372.75","586","546","40","0.932","1.75","6.44","43.35","169","142","27","0.840","1.18","2.19","148","140","8","0.946","0.35","3.57","248","244","4","0.984","0.17","3.01","22","44","33.04","23.13"
"68","Braden Holtby","WSH","36","1645.2666666667","869","809","60","0.931","2.19","8.86","60.53","202","174","28","0.861","1.02","6.90","222","203","19","0.914","0.69","-1.65","423","411","12","0.972","0.44","-0.05","24","74","35.72","25.93"
