"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"88","Landon Bow","DAL","2","58.25","19","18","1","0.947","1.03","0.73","1.19","3","3","0","1.000","0.00","0.54","7","6","1","0.857","1.03","-0.29","9","9","0","1.000","0.00","0.32","0","2","34.32","25.00"
"100","Pavel Francouz","COL","2","61.183333333333","35","33","2","0.943","1.96","1.18","2.72","9","8","1","0.889","0.98","0.63","8","8","0","1.000","0.00","0.82","13","12","1","0.923","0.98","-0.53","1","7","48.00","28.50"
"63","Christopher Gibson","NYI","2","40","17","16","1","0.941","1.50","0.54","0.91","4","4","0","1.000","0.00","0.73","3","3","0","1.000","0.00","0.31","8","7","1","0.875","1.50","-0.71","2","0","44.00","21.00"
"24","Ben Bishop","DAL","46","2638.05","1323","1236","87","0.934","1.98","33.22","105.22","340","301","39","0.885","0.89","22.72","336","308","28","0.917","0.64","6.25","561","542","19","0.966","0.43","1.12","71","127","37.10","23.89"
"44","Robin Lehner","NYI","46","2615.8166666667","1323","1230","93","0.930","2.13","27.22","109.2","377","322","55","0.854","1.26","13.44","355","334","21","0.941","0.48","15.18","534","517","17","0.968","0.39","2.15","47","135","35.24","21.77"
"53","Jack Campbell","L.A","31","1592.7666666667","845","784","61","0.928","2.30","15.78","68.8","189","155","34","0.820","1.28","0.31","231","213","18","0.922","0.68","5.54","380","371","9","0.976","0.34","4.63","45","93","37.92","19.98"
"91","Kevin Boyle","ANA","5","276.85","139","129","10","0.928","2.17","2.63","11.12","33","27","6","0.818","1.30","-0.01","40","37","3","0.925","0.65","1.08","59","58","1","0.983","0.22","1.12","6","20","39.06","21.10"
"18","Thomas Greiss","NYI","43","2293.7","1185","1098","87","0.927","2.28","20.68","96.39","347","294","53","0.847","1.39","9.99","304","288","16","0.947","0.42","14.99","476","458","18","0.962","0.47","-0.93","60","132","36.64","23.20"
"61","Jordan Binnington","STL","32","1856.4166666667","807","748","59","0.927","1.91","14.33","64.53","212","181","31","0.854","1.00","7.48","239","223","16","0.933","0.52","8.36","319","307","12","0.962","0.39","-0.56","41","86","35.68","20.68"
"46","Darcy Kuemper","ARI","55","3251.25","1677","1551","126","0.925","2.33","26.38","130.52","432","364","68","0.843","1.25","10.42","397","364","33","0.917","0.61","7.46","745","720","25","0.966","0.46","1.72","73","204","38.36","23.44"
"59","Laurent Brossoit","WPG","21","1165.2833333333","652","603","49","0.925","2.52","10.25","56.59","176","152","24","0.864","1.24","7.95","172","156","16","0.907","0.82","1.53","268","259","9","0.966","0.46","0.61","27","87","37.28","23.76"
"66","Andrei Vasilevskiy","T.B","53","3203.75","1713","1585","128","0.925","2.40","27.65","130.93","427","351","76","0.822","1.42","1.51","552","516","36","0.935","0.67","20.26","662","647","15","0.977","0.28","8.74","101","190","37.11","23.88"
"76","Cal Petersen","L.A","11","621.7","355","328","27","0.924","2.61","5.26","26.57","90","74","16","0.822","1.54","0.34","79","72","7","0.911","0.68","1.05","158","154","4","0.975","0.39","1.67","14","34","40.63","22.30"
"19","Anton Khudobin","DAL","41","2219.5","1232","1137","95","0.923","2.57","16.95","97.45","313","266","47","0.850","1.27","9.82","312","283","29","0.907","0.78","2.80","532","514","18","0.966","0.49","1.08","50","126","37.28","23.40"
"83","Alex Nedeljkovic","CAR","1","60","26","24","2","0.923","2.00","0.36","1.77","3","1","2","0.333","2.00","-1.46","9","9","0","1.000","0.00","0.92","13","13","0","1.000","0.00","0.47","0","3","41.88","14.00"
"14","Jaroslav Halak","BOS","40","2308.1166666667","1158","1068","90","0.922","2.34","15.22","95.29","319","277","42","0.868","1.09","15.91","326","300","26","0.920","0.68","7.23","449","428","21","0.953","0.55","-4.90","73","135","36.92","24.93"
"67","Matt Murray","PIT","50","2880.2333333333","1594","1465","129","0.919","2.69","15.84","126.14","404","331","73","0.819","1.52","0.34","413","377","36","0.913","0.75","6.09","676","659","17","0.975","0.35","7.25","102","165","37.91","28.29"
"20","Pekka Rinne","NSH","56","3219.7333333333","1582","1452","130","0.918","2.42","13.75","130.26","450","383","67","0.851","1.25","14.69","419","376","43","0.897","0.80","-0.29","622","602","20","0.968","0.37","2.31","93","150","36.11","21.93"
"21","Carey Price","MTL","66","3886.1333333333","1952","1791","161","0.918","2.49","16.37","150.89","497","414","83","0.833","1.28","7.22","512","453","59","0.885","0.91","-6.81","838","819","19","0.977","0.29","11.06","124","196","37.77","21.98"
"84","Mackenzie Blackwood","N.J","23","1263.8666666667","668","613","55","0.918","2.61","5.70","55.71","163","129","34","0.791","1.61","-4.41","172","157","15","0.913","0.71","2.53","298","292","6","0.980","0.28","4.69","32","61","37.62","19.87"
"54","Philipp Grubauer","COL","37","2020.7333333333","1071","982","89","0.917","2.64","8.32","86.67","279","230","49","0.824","1.45","1.65","256","236","20","0.922","0.59","6.09","475","456","19","0.960","0.56","-1.96","48","135","37.95","22.46"
"57","Frederik Andersen","TOR","60","3510.25","1957","1795","162","0.917","2.77","15.83","160.63","480","384","96","0.800","1.64","-8.87","535","488","47","0.912","0.80","7.53","840","821","19","0.977","0.32","11.13","102","182","37.80","21.07"
"62","John Gibson","ANA","58","3233.0333333333","1839","1686","153","0.917","2.84","14.10","171.5","582","492","90","0.845","1.67","15.65","510","461","49","0.904","0.91","2.98","666","653","13","0.980","0.24","10.89","100","245","33.79","22.24"
"93","Carter Hart","PHI","31","1716.9166666667","976","895","81","0.917","2.83","7.69","72.26","214","178","36","0.832","1.26","2.85","256","227","29","0.887","1.01","-2.91","433","418","15","0.965","0.52","0.53","39","134","38.87","25.28"
"89","Casey DeSmith","PIT","36","1943.55","1060","971","89","0.916","2.75","7.32","86.46","273","225","48","0.824","1.48","1.56","270","241","29","0.893","0.90","-1.48","458","446","12","0.974","0.37","4.43","54","141","37.07","23.42"
"78","Juuse Saros","NSH","31","1696.2166666667","870","796","74","0.915","2.62","5.05","75.36","237","197","40","0.831","1.41","3.02","240","220","20","0.917","0.71","4.46","345","331","14","0.959","0.50","-1.63","65","106","36.56","23.84"
"38","Michael Hutchinson","TOR","5","294.93333333333","152","139","13","0.914","2.64","0.81","11.31","28","23","5","0.821","1.02","0.08","45","39","6","0.867","1.22","-1.41","73","71","2","0.973","0.41","0.62","7","14","38.72","28.85"
"42","Anders Nilsson","OTT","24","1321.8666666667","745","681","64","0.914","2.90","3.70","57.41","188","154","34","0.819","1.54","0.13","180","159","21","0.883","0.95","-2.65","339","330","9","0.973","0.41","3.16","34","63","37.82","22.84"
"56","Petr Mrazek","CAR","40","2386.85","1104","1009","95","0.914","2.39","5.32","95.12","310","254","56","0.819","1.41","0.27","273","249","24","0.912","0.60","3.83","439","424","15","0.966","0.38","0.75","59","118","37.70","21.36"
"98","Alexandar Georgiev","NYR","33","1874.1666666667","1057","966","91","0.914","2.91","5.05","92.7","334","282","52","0.844","1.66","8.63","264","238","26","0.902","0.83","0.91","412","399","13","0.968","0.42","1.78","35","110","35.15","21.91"
"11","Marc-Andre Fleury","VGK","61","3635.1333333333","1745","1593","152","0.913","2.51","6.56","148.94","474","375","99","0.791","1.63","-12.96","469","440","29","0.938","0.48","18.80","692","668","24","0.965","0.40","0.82","83","221","36.62","19.55"
"16","Devan Dubnyk","MIN","67","3855.2666666667","1877","1714","163","0.913","2.54","7.56","139.39","416","333","83","0.800","1.29","-7.48","445","401","44","0.901","0.68","1.36","901","865","36","0.960","0.56","-3.68","74","188","40.55","25.09"
"50","Sergei Bobrovsky","CBJ","62","3556.6666666667","1756","1603","153","0.913","2.58","6.56","143.59","479","407","72","0.850","1.21","14.95","502","448","54","0.892","0.91","-2.83","689","662","27","0.961","0.46","-2.29","82","199","36.14","22.99"
"71","Connor Hellebuyck","WPG","63","3704.1","2050","1871","179","0.913","2.90","7.28","162.26","498","398","100","0.799","1.62","-9.60","551","503","48","0.913","0.78","8.16","891","861","30","0.966","0.49","1.96","106","220","38.02","22.83"
