"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"76","Cal Petersen","L.A","11","530.38333333333","283","269","14","0.951","1.58","9.60","18.79","66","59","7","0.894","0.79","4.59","61","56","5","0.918","0.57","0.63","134","132","2","0.985","0.23","1.94","11","28","40.86","24.50"
"88","Landon Bow","DAL","2","50.283333333333","18","17","1","0.944","1.19","0.50","1.09","3","3","0","1.000","0.00","0.53","6","5","1","0.833","1.19","-0.45","9","9","0","1.000","0.00","0.26","0","2","34.89","25.00"
"91","Kevin Boyle","ANA","5","231.31666666667","116","109","7","0.940","1.82","2.67","7.82","25","22","3","0.880","0.78","1.39","32","29","3","0.906","0.78","-0.04","52","51","1","0.981","0.26","0.53","6","17","40.59","26.29"
"24","Ben Bishop","DAL","46","2234.9333333333","1125","1055","70","0.938","1.88","23.81","81.1","293","258","35","0.881","0.94","16.46","270","249","21","0.922","0.56","3.93","489","476","13","0.973","0.35","1.38","68","108","37.15","23.77"
"18","Thomas Greiss","NYI","43","1930.1666666667","984","922","62","0.937","1.93","20.05","72.1","275","237","38","0.862","1.18","10.30","251","241","10","0.960","0.31","13.18","413","399","14","0.966","0.44","-1.86","52","99","36.62","23.40"
"14","Jaroslav Halak","BOS","40","1920.2333333333","932","872","60","0.936","1.87","17.72","70.62","249","222","27","0.892","0.84","16.73","265","245","20","0.925","0.62","4.47","369","356","13","0.965","0.41","-2.15","63","111","36.61","23.72"
"61","Jordan Binnington","STL","32","1607.9333333333","688","644","44","0.936","1.64","13.37","51.38","178","153","25","0.860","0.93","6.26","208","195","13","0.938","0.49","6.21","269","263","6","0.978","0.22","1.91","35","74","35.83","19.95"
"44","Robin Lehner","NYI","46","2233.6666666667","1107","1034","73","0.934","1.96","19.31","83.38","306","259","47","0.846","1.26","6.74","291","276","15","0.948","0.40","11.87","469","458","11","0.977","0.30","2.79","40","108","35.01","20.63"
"59","Laurent Brossoit","WPG","21","979.48333333333","533","498","35","0.934","2.14","9.45","43.09","139","122","17","0.878","1.04","7.41","143","131","12","0.916","0.74","1.21","220","214","6","0.973","0.37","0.47","23","69","37.14","24.40"
"53","Jack Campbell","L.A","31","1329.45","714","666","48","0.933","2.17","11.54","51.07","157","129","28","0.822","1.26","-0.42","191","177","14","0.927","0.63","3.64","327","321","6","0.982","0.27","3.61","42","71","38.18","19.00"
"63","Christopher Gibson","NYI","2","34.683333333333","15","14","1","0.933","1.73","0.25","0.81","4","4","0","1.000","0.00","0.70","2","2","0","1.000","0.00","0.18","7","6","1","0.857","1.73","-0.79","2","0","45.20","21.00"
"100","Pavel Francouz","COL","2","47.733333333333","29","27","2","0.931","2.51","0.42","2.39","9","8","1","0.889","1.26","0.58","7","7","0","1.000","0.00","0.65","10","9","1","0.900","1.26","-0.71","1","7","43.72","28.50"
"19","Anton Khudobin","DAL","41","1892.7166666667","1014","943","71","0.930","2.25","13.55","71.37","250","212","38","0.848","1.20","5.91","255","234","21","0.918","0.67","2.55","447","436","11","0.975","0.35","2.14","46","104","37.18","23.46"
"67","Matt Murray","PIT","50","2423.8333333333","1351","1257","94","0.930","2.33","18.66","99.09","343","291","52","0.848","1.29","8.24","339","310","29","0.914","0.72","2.31","584","573","11","0.981","0.27","6.17","91","142","37.93","29.13"
"56","Petr Mrazek","CAR","40","1994.5333333333","920","855","65","0.929","1.96","11.72","71.63","248","212","36","0.855","1.08","7.56","233","216","17","0.927","0.51","4.52","370","358","12","0.968","0.36","-1.12","51","98","38.01","22.68"
"3","Ryan Miller","ANA","20","913.25","469","435","34","0.928","2.23","5.11","37.05","134","114","20","0.851","1.31","3.54","133","124","9","0.932","0.59","3.28","185","180","5","0.973","0.33","0.44","25","54","34.70","27.29"
"20","Pekka Rinne","NSH","56","2665.7833333333","1314","1220","94","0.928","2.12","15.57","97.17","373","323","50","0.866","1.13","15.51","340","311","29","0.915","0.65","2.40","527","512","15","0.972","0.34","0.49","77","120","35.72","21.31"
