"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"45","Edward Pasquale","T.B","3","12","9","9","0","1.000","0.00","1.23","0.74","1","1","0","1.000","0.00","0.21","2","2","0","1.000","0.00","0.30","6","6","0","1.000","0.00","0.47","0","0","31.22","-"
"63","Christopher Gibson","NYI","2","2","2","2","0","1.000","0.00","0.27","0.11","0","0","0","-","0.00","0.00","1","1","0","1.000","0.00","0.15","1","1","0","1.000","0.00","0.08","0","0","35.00","-"
"64","Maxime Lagace","VGK","1","6","5","5","0","1.000","0.00","0.68","0.41","0","0","0","-","0.00","0.00","1","1","0","1.000","0.00","0.15","4","4","0","1.000","0.00","0.31","0","0","42.00","-"
"83","Alex Nedeljkovic","CAR","1","4","3","3","0","1.000","0.00","0.41","0.6","1","1","0","1.000","0.00","0.21","2","2","0","1.000","0.00","0.30","0","0","0","-","0.00","0.00","0","1","26.67","-"
"88","Landon Bow","DAL","2","3.1","1","1","0","1.000","0.00","0.14","0.1","0","0","0","-","0.00","0.00","1","1","0","1.000","0.00","0.15","0","0","0","-","0.00","0.00","0","0","24.00","-"
"90","Charlie Lindgren","MTL","1","2","4","4","0","1.000","0.00","0.55","0.8","2","2","0","1.000","0.00","0.41","1","1","0","1.000","0.00","0.15","1","1","0","1.000","0.00","0.08","0","3","23.75","-"
"95","Michael Dipietro","VAN","1","4.95","3","3","0","1.000","0.00","0.41","0.23","0","0","0","-","0.00","0.00","1","1","0","1.000","0.00","0.15","2","2","0","1.000","0.00","0.16","0","0","49.00","-"
"99","Pavel Francouz","COL","2","4.7833333333333","4","4","0","1.000","0.00","0.55","0.24","0","0","0","-","0.00","0.00","1","1","0","1.000","0.00","0.15","3","3","0","1.000","0.00","0.23","0","0","40.50","-"
"38","Michael Hutchinson","TOR","5","19.566666666667","18","17","1","0.944","3.07","1.46","2.38","3","3","0","1.000","0.00","0.62","6","6","0","1.000","0.00","0.91","9","8","1","0.889","3.07","-0.30","0","3","42.50","58.00"
"7","Mike McKenna","OTT","10","31.383333333333","43","40","3","0.930","5.74","2.89","3.92","7","6","1","0.857","1.91","0.45","7","7","0","1.000","0.00","1.07","29","27","2","0.931","3.82","0.25","0","4","37.14","26.00"
"26","Chad Johnson","ANA","9","27.516666666667","26","24","2","0.923","4.36","1.56","2.06","5","5","0","1.000","0.00","1.04","7","5","2","0.714","4.36","-0.93","14","14","0","1.000","0.00","1.09","0","2","37.46","31.00"
"97","Alexandar Georgiev","NYR","33","175.41666666667","160","146","14","0.913","4.79","7.91","21.7","61","54","7","0.885","2.39","5.66","34","29","5","0.853","1.71","0.18","65","63","2","0.969","0.68","3.04","0","29","29.40","23.21"
"66","Andrei Vasilevskiy","T.B","53","312.03333333333","269","245","24","0.911","4.61","12.84","29.03","62","51","11","0.823","2.12","1.86","97","89","8","0.918","1.54","6.77","107","103","4","0.963","0.77","4.29","6","24","34.58","28.58"
"93","Carter Hart","PHI","31","128.8","96","87","9","0.906","4.19","4.15","11.95","25","22","3","0.880","1.40","2.19","25","21","4","0.840","1.86","-0.19","44","43","1","0.977","0.47","2.41","2","17","33.27","41.78"
"53","Jack Campbell","L.A","31","136.98333333333","113","102","11","0.903","4.82","4.47","16.32","27","22","5","0.815","2.19","0.60","33","30","3","0.909","1.31","2.02","53","50","3","0.943","1.31","1.11","0","21","32.97","24.64"
"70","Anthony Stolarz","PHI","12","56.4","41","37","4","0.902","4.26","1.61","5.06","11","10","1","0.909","1.06","1.28","12","11","1","0.917","1.06","0.83","18","16","2","0.889","2.13","-0.60","0","7","30.27","27.50"
"16","Devan Dubnyk","MIN","67","313.61666666667","284","256","28","0.901","5.36","10.89","31.02","50","43","7","0.860","1.34","3.37","90","78","12","0.867","2.30","1.70","142","133","9","0.937","1.72","2.01","4","25","36.99","35.61"
"29","Jonathan Bernier","DET","35","138.5","129","116","13","0.899","5.63","4.67","19.31","49","38","11","0.776","4.77","-0.83","34","32","2","0.941","0.87","3.18","46","46","0","1.000","0.00","3.57","0","23","29.11","16.23"
"24","Ben Bishop","DAL","46","210.45","165","148","17","0.897","4.85","5.60","21.24","38","34","4","0.895","1.14","3.88","60","53","7","0.883","2.00","2.14","65","59","6","0.908","1.71","-0.96","1","17","31.50","24.35"
"46","Darcy Kuemper","ARI","55","242.76666666667","195","175","20","0.897","4.94","6.70","22.62","42","36","6","0.857","1.48","2.71","64","58","6","0.906","1.48","3.75","89","81","8","0.910","1.98","-1.10","2","19","32.90","31.30"
"21","Carey Price","MTL","66","329.41666666667","272","243","29","0.893","5.28","8.25","33.04","78","68","10","0.872","1.82","6.18","79","65","14","0.823","2.55","-1.97","114","109","5","0.956","0.91","3.84","8","37","30.96","25.97"
"84","Mackenzie Blackwood","N.J","23","108.85","84","75","9","0.893","4.96","2.50","11.3","21","18","3","0.857","1.65","1.36","30","26","4","0.867","2.20","0.57","33","31","2","0.939","1.10","0.56","0","7","31.23","26.89"
"17","Cory Schneider","N.J","26","120.88333333333","83","74","9","0.892","4.47","2.37","11.46","19","16","3","0.842","1.49","0.94","30","26","4","0.867","1.99","0.57","34","32","2","0.941","0.99","0.64","3","8","31.94","26.44"
"82","Thatcher Demko","VAN","9","45","37","33","4","0.892","5.33","1.07","4.58","7","6","1","0.857","1.33","0.45","11","9","2","0.818","2.67","-0.33","19","18","1","0.947","1.33","0.47","0","2","32.62","23.50"
"42","Anders Nilsson","OTT","24","87.7","81","72","9","0.889","6.16","2.09","10.33","23","20","3","0.870","2.05","1.77","23","19","4","0.826","2.74","-0.50","34","32","2","0.941","1.37","0.64","1","8","30.56","29.00"
"75","Antti Raanta","ARI","12","72.166666666667","54","48","6","0.889","4.99","1.39","7.96","17","15","2","0.882","1.66","1.53","14","11","3","0.786","2.49","-0.87","22","21","1","0.955","0.83","0.71","3","12","29.81","22.00"
